pub_date,headline_str,content_hash,duplication_count,section_name,word_count
1983-08-25T05:00:00+0000," THURSDAY, AUGUST 25, 1983 International",d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,806
1983-08-26T05:00:00+0000,N.C.A.A. SUED ON BERRY ISSUE,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,408
1983-08-26T05:00:00+0000,DRUGS: THE ARTIFICIAL EDGE,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1107
1983-08-27T05:00:00+0000,SOME ON U.S. SQUAD AT CARACAS FAILED DRUG TESTS BEFORE GAMES,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,988
1983-08-27T05:00:00+0000,SCOUTING,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,180
1983-08-27T05:00:00+0000,TULLY RETURNS AND WINS GOLD,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,834
1983-08-28T05:00:00+0000,CONDITIONING ATHLETES' MINDS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Magazine,4020
1983-08-28T05:00:00+0000,Letters To The Long Island Editor;  The Way It Was AT Jones Beach,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,1271
1983-08-28T05:00:00+0000,More Drug Testing At Olympics Eyed,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,769
1983-08-28T05:00:00+0000, Walker Enters Mile,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,154
1983-08-29T05:00:00+0000,SPORTS WORLD SPECIALS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,548
1983-08-29T05:00:00+0000,MAREE SETS WORLD RECORD,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,310
1983-08-30T05:00:00+0000,CBS'S PAN AM BALANCING ACT,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,975
1983-08-30T05:00:00+0000,WHAT HAPPENED TO ORANGES?,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1141
1983-08-30T05:00:00+0000,OLYMPIC LESSONS IN PAN AM GAMES,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,916
1983-08-31T05:00:00+0000,DRUG TESTS AT HELSINKI EVENTS NEGATIVE,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,444
1983-08-31T05:00:00+0000, Comings and Goings,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,180
1983-09-01T05:00:00+0000, Comings and Goings,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,247
1983-09-02T05:00:00+0000,HOW DANIEL GERROLL GOT 'THE KNACK',d9afd4541b453bda2ef5eeaa1bd7a23d,240,Theater,920
1983-09-02T05:00:00+0000,No Headline,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,245
1983-09-03T05:00:00+0000,9-TO-5 VICTORY OVER THE U.S. CHEERS NICARAGUANS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,World,976
1983-09-04T05:00:00+0000,TESTS VINDICATE FEMALE ATHLETES,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,962
1983-09-04T05:00:00+0000,DRUG TESTING CANNOT INSURE FAIR PLAY,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1063
1983-09-04T05:00:00+0000,East German Rowers Win 4 Women's Events,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,161
1983-09-04T05:00:00+0000,"NUMISMATICS;
SPECIALS PROGRAM PLANNED FOR ANS ANNIVERSARY",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,1285
1983-09-04T05:00:00+0000,Injured Fighter Critical',d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,259
1983-09-05T05:00:00+0000,SPORTS WORLD SPECIALS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,384
1983-09-05T05:00:00+0000,"OVETT REGAINS MARK IN 1,500",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,314
1983-09-05T05:00:00+0000,COSMOS AND MANIC PLAYOFF OPPONENTS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,512
1983-09-06T05:00:00+0000,VISIT BY GROMYKO TO PARIS DELAYED,d9afd4541b453bda2ef5eeaa1bd7a23d,240,World,1010
1983-09-06T05:00:00+0000,CHINAGLIA MISSES COSMOS' WORKOUT,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,421
1983-09-07T05:00:00+0000,CARTER'S LASTING GESTURE,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Opinion,147
1983-09-07T05:00:00+0000,POET WINS BATTLE TO REMAIN IN U.S.,d9afd4541b453bda2ef5eeaa1bd7a23d,240,U.S.,692
1983-09-08T05:00:00+0000,NATO ALLIES SEEM TO FAVOR CURB ON FLIGHTS TO MOSCOW,d9afd4541b453bda2ef5eeaa1bd7a23d,240,World,795
1983-09-08T05:00:00+0000,Bayi Changes Schools,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,138
1983-09-10T05:00:00+0000,Comings and Goings,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,180
1983-09-11T05:00:00+0000,Call to Enforce Drug Policies,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,435
1983-09-11T05:00:00+0000,U.S. BRACES FOR ITS STIFFEST YACHTING TEST,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1647
1983-09-11T05:00:00+0000,No Headline,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Week in Review,100
1983-09-11T05:00:00+0000,A Victory Not Only for Mr. Brutus,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Opinion,365
1983-09-11T05:00:00+0000,"AIR SHOWS GAINING, DESPITE CRITICISM",d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,677
1983-09-11T05:00:00+0000,THE BLOCKBUSTER TAKES OVER,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,2174
1983-09-11T05:00:00+0000,"PENTHOUSES STILL THE TOPS, IF NOT ALWAYS AT THE TOP",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Real Estate,1723
1983-09-11T05:00:00+0000,"OPERA MAY DOMINATE, BUT THE KEYNOTE IS VARIETY",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,2263
1983-09-11T05:00:00+0000,'I DIDN'T HAVE TO BE LUCKY',d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1111
1983-09-11T05:00:00+0000,"LEASHING HIS FURY, REAGAN SURPRISES AND CALMS ALLIES",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Week in Review,975
1983-09-11T05:00:00+0000,"NUMISMATICS;
NEW MARKETING PROGRAM FOR U.S. GOLD MEDALS",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,1510
1983-09-11T05:00:00+0000,"Arg""uello Decides 'the Carnival Is Over'",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,867
1983-09-11T05:00:00+0000,DRESSING FOR THE COLD,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Magazine,1618
1983-09-12T05:00:00+0000,THE DIFFERING STYLES OF THE HELMSMEN,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,2243
1983-09-13T05:00:00+0000,Comings and Goings,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,74
1983-09-13T05:00:00+0000,COSMOS OUSTED IN PLAYOFFS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,649
1983-09-14T05:00:00+0000,Gold Coin Minted For the Olympics,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,70
1983-09-14T05:00:00+0000,Statue of Owens Now a Possibility,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,145
1983-09-14T05:00:00+0000,Inquiry Set On Pan Am,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,169
1983-09-15T05:00:00+0000,West Berlin Honors Owens,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,67
1983-09-15T05:00:00+0000,Soviet Contests Are Called Off,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,107
1983-09-16T05:00:00+0000,MANCINI A WINNER BY KNOCKOUT IN 9TH,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,741
1983-09-17T05:00:00+0000,Title Bout Hurts Mancini's Prestige,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,694
1983-09-17T05:00:00+0000,"JACKSON, IN BERLIN, BIDS REAGAN MEET ANDROPOV",d9afd4541b453bda2ef5eeaa1bd7a23d,240,U.S.,814
1983-09-17T05:00:00+0000,Soviet Team Welcome,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,183
1983-09-18T05:00:00+0000,U.S. Won't Appeal Granting Of Asylum to South African,d9afd4541b453bda2ef5eeaa1bd7a23d,240,U.S.,133
1983-09-18T05:00:00+0000,CANADIAN OLYMPIC SITE RUNS INTO PROBLEMS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,World,664
1983-09-18T05:00:00+0000,"NUMISMATICS;
INDUSTRY ORGANIZES TO COMBAT FEDERAL CONTROLS",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,1476
1983-09-18T05:00:00+0000,SEOUL SETTING A QUICK PACE ON '88 GAMES,d9afd4541b453bda2ef5eeaa1bd7a23d,240,World,747
1983-09-18T05:00:00+0000, Shorter Trying Again,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,236
1983-09-18T05:00:00+0000,A VOICE OUT OF AFRICA,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Magazine,4092
1983-09-18T05:00:00+0000,Q&A,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Travel,728
